SUMMARY OF PARAMS,,,,,,,,,,,
Query Image,Video,Chain Length,Feature Extractor,Matcher,Frame Interval,Pass Ratio,Match Thresh,Min Area,Filter Intersections,Min Angle,Max Angle
logos/dhl2.png,videos/08european-5min.mp4,3,SIFT,FLANN,2,0.7,10,0.01,TRUE,45,135
MATCHES,,,,,,,,,,,
Frame Num,Img Name,Area,Min Angle,Max Angle,Chain Weight Factor,,,,,,
284,frame284.jpg,0.026888725,75.03877456,99.20521915,1,,,,,,
285,frame285.jpg,0.027375671,77.57540217,95.64120672,1,,,,,,
286,frame286.jpg,0.026592093,80.50376804,92.95532612,1,,,,,,
290,frame290.jpg,0.065829687,45.65290614,126.9329135,1,,,,,,
291,frame291.jpg,0.026908599,82.81859024,91.33396661,1,,,,,,
292,frame292.jpg,0.026845945,73.86188172,99.55693792,1,,,,,,
293,frame293.jpg,0.057608985,65.05083444,108.5656168,1,,,,,,
294,frame294.jpg,0.025884729,79.56784229,94.66456767,1,,,,,,
295,frame295.jpg,0.024627331,56.58169944,117.0549688,1,,,,,,
303,frame303.jpg,0.019524239,72.92812014,100.1162397,1,,,,,,
304,frame304.jpg,0.019010687,76.92148383,96.33131121,1,,,,,,
305,frame305.jpg,0.019841924,81.12222888,92.1326409,1,,,,,,
306,frame306.jpg,0.017243501,83.70859238,91.1107333,1,,,,,,
307,frame307.jpg,0.01955262,81.85107404,90.946143,1,,,,,,
308,frame308.jpg,0.019571583,73.70816872,99.35378671,1,,,,,,
324,frame324.jpg,0.018728147,78.53909049,95.50297687,1,,,,,,
325,frame325.jpg,0.018967649,73.50420305,99.65778433,1,,,,,,
326,frame326.jpg,0.01972511,81.5252311,92.85348015,1,,,,,,
327,frame327.jpg,0.02012314,73.57496505,99.36937749,1,,,,,,
328,frame328.jpg,0.019782411,85.88122791,88.50809441,1,,,,,,
329,frame329.jpg,0.020379185,80.68891791,92.30395773,1,,,,,,
330,frame330.jpg,0.018921569,67.67585692,105.6399714,1,,,,,,
331,frame331.jpg,0.019066549,73.30153278,99.94979796,1,,,,,,
332,frame332.jpg,0.019064045,71.72885034,101.7390394,1,,,,,,
333,frame333.jpg,0.019189881,76.9049795,96.36504123,1,,,,,,
616,frame616.jpg,0.037328473,61.11501909,113.0231745,1,,,,,,
617,frame617.jpg,0.038613699,47.01365826,126.9020303,1,,,,,,
618,frame618.jpg,0.038070835,74.96887225,97.75462905,1,,,,,,
28,2.24,0.026116679,73.3326347,100.1953905,86.76401258,,,,,,
,,0.011788576,10.1265699,10.01456326,10.07056658,,,,,,
ERRORS,,,,,,,,,,,